,text,origins
99,Ook het telkens moeten afsluiten en opnieuw opstarten van de laptop wordt als tijdrovend en hinderlijk ervaren innoveren en concentreren worden goed gefaciliteerd,1
101,In het onderzoek zijn voorbeelden genoemd van vertrouwelijke gesprekken en overleggen bijvoorbeeld sollicitatie en Pgesprekken die in de open ruimtes plaatsvinden,1
102,Gebruikers geven aan dat dit wordt veroorzaakt door dat er op drukke dagen een gebrek aan besloten overlegruimte is en er vaak geen vergaderruimte meer beschikbaar is,1
103,Ook de halfopen telefoonbollen blijken niet geschikt voor het voeren van een vertrouwelijk telefoongesprek,1
104,Tenslotte bieden ook de bureauplekken zelf onvoldoende privacy waardoor medegebruikers en passanten makkelijk kunnen meekijken op beeldschermen en stukken voor eenieder zichtbaar op bureaus liggen,1
105,In het kantoorconcept van R8 klemt dit temeer aangezien er op R8 minder sociale controle is omdat gebruikers elkaar veelal niet kennen en gebruikers van diverse organisaties door elkaar heen zitten,1
106,Een van de FWRuitgangspunten is dat de samenwerking tussen rijksambtenaren door de huisvesting wordt bevorderd,1
107,Voor dit onderzoek worden drie soorten samenwerking onderscheiden samenwerking tussen organisaties samenwerking tussen organisatieonderdelen en collegiale samenwerking,1
108,Gebruikers geven aan dat de drie op R8 gehuisveste organisaties BZ IenW en KK inhoudelijk relatief weinig samenwerkingsrelaties met elkaar onderhouden en vragen zich dan ook af waarom ervoor is gekozen om deze drie organisaties in één kantoor te huisvesten,1
110,Dit geldt met name voor de drie onderdelen van de Kleine Keten die voorheen over meerdere locaties in het westen van het land verspreid waren en in mindere mate voor IenW dat op twee locaties in Den Haag gehuisvest was,1
111,Deze verbetering gaat echter niet op voor BZ,1
113,Er is weliswaar relatief veel ruimte op R8 voor het informeel ontmoeten en overleggen maar voor besloten overleg in teamverband of ad hoc overleg worden voldoende afgesloten overlegruimte gemist,1
114,Dit heeft ook te maken met het feit dat in de open werkruimtes intercollegiale afstemming en overleg vrijwel onmogelijk is aangezien in deze ruimtes stilte dient te worden betracht en de privacy niet is gewaarborgd,1
115,Voor teamsessies of collegiaal overleg waarvoor een besloten ruimte nodig is dient deze derhalve vooraf overleg of vergaderruimte te worden gereserveerd,1
116,Hierdoor vergt het samenwerken op R8 veel inspanningen van gebruikers met betrekking tot het plannen en organiseren van deze samenwerking innoveren en concentreren worden goed gefaciliteerd,1
118,FWRdoelstellingen Medewerkers kunnen efficiënt hun werk doen samenwerken spontaan ontmoeten 35 De kantooromgeving wordt door gebruikers als weinig inspirerend ervaren en gebruikers missen een eigen identiteit,1
119,Voor BZ voldoet R8 niet geheel aan de standaard ten aanzien van representativiteit Het antwoord op de vraag of de kantooromgeving als inspirerend wordt ervaren is voor een belangrijk deel subjectief,1
120,Hoewel er ook gebruikers zijn die het pand als inspirerend en eigentijds ervaren zijn de meeste gebruikers die we in het kader van ons onderzoek hebben gesproken van mening dat de uitstraling nogal onpersoonlijk zakelijk en kil is,1
121,Men mist een eigen identiteit van de organisatie ook al wist men niet altijd goed aan te geven wat deze identiteit precies inhoudt,1
122,Pogingen om meer eigenheid en herkenbaarheid te geven aan de hen toegewezen werkgebieden zijn in de periode vlak na de verhuizing verijdeld al bemerkt men daarin sinds kort wel enige versoepeling,1
124,Men doelt daarbij vooral op het ontbreken van faciliteiten die zijn afgestemd op het ontvangen van veelal belangrijke internationale gasten,1
125,Hierbij werden onder andere genoemd een representatieve ontvangstruimte bij de VIPingang de mogelijkheid om gasten direct naar de ontmoetingsplek in R8 te leiden zonder gebruik te maken van de algemene publieke routes en representatieve wachtruimtes voorzien van catering op de etages,1
126,Ook de rommelige en weinig representatieve omgeving van de achterzijde van het Centraal Station bij de VIPingang werd genoemd,1
127,Het gebrek aan representativiteit geldt volgens gebruikers van BZ ook voor de overige externe en informele diplomatieke contacten,1
128,Volgens gebruikers is bijvoorbeeld het ontvangen van gasten in een open kantoorruimte of een slang niet in overeenstemming met hetgeen in het diplomatieke en internationale verkeer gebruikelijk is,1
129,De bereikbaarheid van R8 met het openbaar vervoer wordt door gebruikers alom gewaardeerd,1
130,Over de bereikbaarheid met de auto is men minder positief,1
131,De meeste voormalige kantoorlocaties beschikten over eigen gratis parkeergelegenheid waardoor gebruikers de mogelijkheid hadden om met de auto komen,1
132,Voor het COA geldt bovendien dat medewerkers niet beschikken over een door de werkgever verstrekte mobilitycard maar een reiskostenvergoeding krijgen waardoor de kosten voor reizen met het openbaar vervoer niet in alle gevallen volledig worden vergoed,1
134,De capaciteit op drukke dagen is volgens gebruikers niet afdoende waardoor doorgangen vaak worden geblokkeerd door fietsen die onjuist geparkeerd staan,1
135,Ook de overige voorzieningen zoals lockers omkleedruimte en douches worden als ontoereikend ervaren,1
136,De totale stallingcapaciteit is door de projectorganisatie vooraf uitgevraagd aan de bewonersorganisaties waarbij ook rekening is gehouden met een toename van fietsgebruik op R89,1
137,Volgens FMH worden de klachten deels veroorzaakt doordat een deel van de aanwezige capaciteit niet volledig benut kan worden als gevolg van fietsen met kratten of kinderzitjes,1
138,Deze fietsen zorgen ervoor dat de naastliggende of bovenliggende plekken niet bereikbaar zijn,1
139,Verder geeft FMH aan dat zoals de stalling in de bovenrekken niet volledig wordt benut,1
140,Functionele kwaliteit nr71 van het FWR Kwaliteitskader stelt dat tevens rekening dient te worden gehouden met bijzondere fietsen ligfietsen bakfietsen elektrische fietsen en fietsen met kratten,1
142,In het programma van eisen is uitgegaan van een benodigde capaciteit van 1100,1
144,Er blijkt namelijk een discrepantie te bestaan tussen de beleving van de dienstverlening door de gebruikers en de performance op de dienstverlening zoals overeengekomen in het contract,1
145,Nader onderzoek zal moeten uitwijzen wat hiervan de exacte oorzaken zijn,1
147,Deze kritiek komt grotendeels overeen met de kritiek uit het belevingsonderzoek,1
148,De meest gehoorde klachten en meldingen betreffen de hygiëne schoonmaak van bureaus en toiletten volle prullenbakken de kwaliteit en hoge prijzen van de catering en aanvullende vergaderfaciliteiten wachtrijen bij de ICTservicebalie en de trage afhandeling van verzoeken tot wijziging VTWs,1
149,Positieve waardering is er voor de vriendelijkheid en behulpzaamheid van de servicebalies 10 Onder dienstverlening wordt in dit onderzoek verstaan de facilitaire dienstverlening en de ICT dienstverlening,1
152,Vanaf dat moment is een dalende en stabiliserende trend zichtbaar,1
153,De onderstaande diagram geeft de verdeling weer van het aantal facilitaire klachten naar soort klachten,1
154,Hieruit blijkt dat veruit de meeste klachten in de periode van juni 2017 tot en met oktober 2018 betrekking hadden op de categorie schoonmaak en reststoffen13 12 Dit betreft zaken die door FMH ook als klacht worden geregistreerd,1
156,Na het derde kwartaal 2017 daalt het aantal ICTmeldingen maar sinds het derde kwartaal 2018 is het aantal ICTmeldingen weer toegenomen,1
157,Voor deze stijging heeft SSCICT geen verklaring kunnen aangeven,1
158,Bron SSCICT Uit de omschrijving van de ICTmeldingen blijkt dat veel meldingen betrekking hebben op zaken die niet direct gerelateerd zijn aan ICTvoorzieningen van R8,1
159,Het overgrote deel van de meldingen heeft betrekking op softwarematige zaken,1
161,VTWs worden door gebruikers aangevraagd via een formulier en vervolgens ingebracht in het bewonersoverleg14 om aldaar te worden besproken en beoordeeld op haalbaarheid en wenselijkheid,1
162,De behandeling van deze verzoeken in het bewonersoverleg verloopt traag omdat veel verzoeken naar een hoger niveau blijken te worden opgeschaald,1
163,Ook blijkt dat ingediende verzoeken in veel gevallen nog nader met de aanvrager moeten worden afgestemd omdat gebruikers de aanvraag niet duidelijk formuleren15,1
164,Ook ervaren gebruikers de communicatie over de status van de afhandeling van VTWs als weinig transparant,1
166,Vooropgesteld moet worden dat wij geen uitgebreid onderzoek hebben gedaan naar de contractuele relaties en ook niet hebben gesproken met vertegenwoordigers van de zijde van de opdrachtnemer Poort Centraal PC,1
167,De hieronder aangegeven bevindingen zijn gebaseerd op gesprekken die hierover met de contracteigenaar RVB en de contractbeheerder FM Haaglanden zijn gevoerd 14 Het bewonersoverleg is een speciaal voor R8 opgezette overlegstructuur van gebruikers en beheerders,1
168,Het is ingericht volgens het zogenaamde negenvlaksmodel en kent 3 escalatieniveaus operationeel tactisch en strategisch 15 Het knelpunt met betrekking tot de trage afhandeling van VTWs heeft inmiddels geleid tot de introductie van een verkorte aanvraagprocedure,1
169,Deze procedure was echter ten tijde van ons onderzoek nog niet in werking 16 DBFMO staat voor Design Build Finance Maintain Operate 18 van 51 Op grond van het bovenstaande is de onderzoeksvraag niet eenduidig te beantwoorden,1
171,De kwaliteitsnormen service levels en doorlooptijden voor de dienstverlening zijn vastgelegd in een zogenaamd Uitvoeringsplan Diensten UPD een door de opdrachtnemer op basis van de outputspecificaties OS opgesteld plan dat door de opdrachtgever is goedgekeurd,1
172,Dit plan maakt deel uit van het contract en wordt in overleg met de opdrachtgever periodiek herijkt en waar nodig bijgesteld,1
173,Kenmerkend voor een DBFMOcontract is dat de opdrachtnemer zelf de kwaliteit van de dienstverlening controleert en rapporteert aan de opdrachtgever op basis van een door de opdrachtgever goedgekeurd kwaliteitssysteem,1
174,Op deze wijze controleert de opdrachtgever in beginsel alleen nog op systeemniveau of aan de contractuele eisen met betrekking tot dienstverlening wordt voldaan systeemgerichte contractbeheersing,1
175,In beginsel want daarnaast worden ook periodieke procestoetsen uitgevoerd op basis van een risicoanalyse en kunnen producttoetsen worden uitgevoerd indien daar een concrete aanleiding voor is,1
176,Indien afwijkingen van de overeengekomen normen worden geconstateerd dan krijgt de opdrachtnemer de gelegenheid om deze binnen een bepaald termijn op te lossen,1
177,Lukt dit niet dan wordt een korting boete opgelegd,1
178,De prijzen voor bepaalde diensten de zogenaamde specifiek variabele diensten mogen door de opdrachtnemer op commerciële basis worden vastgesteld,1
179,Dit geldt bijvoorbeeld voor catering en aanvullende vergaderfaciliteiten,1
181,Uit de gesprekken met de contracteigenaar en contractbeheerder kwam naar voren dat de kwaliteitsnormen uit het contract over het algemeen gehaald worden,1
182,Deze normen zijn ten aanzien van een aantal diensten zelfs scherper dan gebruikelijk,1
183,Er zijn in 2018 weliswaar aanzienlijke kortingen toegepast maar deze hadden voor een groot deel betrekking op aanpassingen aan het pand en dus niet op de dienstverlening,1
185,Het feit dat afwijkingen niet geconstateerd worden betekent immers niet automatisch dat ze onterecht zijn,1
186,Het zou met andere woorden ook zo kunnen zijn dat afwijkingen niet tijdig worden gesignaleerd als gevolg van onvolkomenheden in het controlesysteem,1
187,Ook de klachten met betrekking tot de hoge prijzen die PC rekent voor een aantal specifiek variabele diensten zijn onderwerp van gesprek,1
189,Zij hebben vanuit het oogpunt van kostenoptimalisatie daar ook een eigen belang in,1
192,De organisatiecultuur van de Kleine Keten blijkt daarbij beter te zijn afgestemd op het nieuwe kantoorconcept dan van de twee andere organisaties,1
193,De sturing vanuit de organisatie op het flexibel werken blijkt binnen alle organisaties beperkt te zijn,1
194,Gehanteerde onderzoekscriteria de invloed van de eigen identiteit organisatie en cultuurkenmerken van de 52 Organisatie en cultuurkenmerken blijken van invloed te zijn op de beleving De drie organisaties die op R8 zijn gehuisvest hebben elk hun specifieke organisatorische en cultuurkenmerken,1
196,Deze kenmerken zijn in onderstaande tabel weergegeven,1
198,Grof gezegd komt hieruit naar voren dat een organisatie met een sterke interne gerichtheid en een sterk ontwikkelde familiecultuur minder geschikt lijkt voor het FWRhuisvestingsconcept dan organisaties of onderdelen die meer een externe en zakelijke oriëntatie hebben,1
199,Een ander onderscheid dat vooral binnen organisaties zichtbaar is is die tussen beleidsgerichte en uitvoeringsgerichte onderdelen waarbij beleidsgerichte onderdelen meer moeite hebben met het huisvestingsconcept dan de meer uitvoeringsgerichte onderdelen,1
201,Gebruikers ervaren weinig sturing vanuit hun organisatie op het activiteit gerelateerd werken,1
202,In een aantal gevallen is dat mede te wijten aan een gebrek aan acceptatie van en in een enkel geval zelfs weerstand tegen het nieuwe kantoorconcept door het management,1
203,Sommige managers verlangen van de medewerkers dat ze vrijwel dagelijks fysiek aanwezig zijn ook als dat werkinhoudelijk niet strikt noodzakelijk is,1
204,In veel gevallen zijn geen nadere afspraken gemaakt over flexwerken wanneer werkt men thuis en wanneer wordt men geacht op kantoor aanwezig te zijn,1
205,Uitzondering hierop zijn de organisaties van de KK waar dergelijke afspraken wel zijn gemaakt hetgeen ook samenhangt met de aard van het werk binnen de KK,1
206,Ook wordt er volgens gebruikers nauwelijks actief gestuurd op de wijze waarop de werkplekken worden gebruikt activiteit gerelateerd en zijn hierover niet bij alle organisatieonderdelen nadere enof eenduidige afspraken gemaakt,1
207,Het stimuleren van het elkaar aanspreken op het naleven van de regels gebeurt eveneens nauwelijks,1
208,De voor R8 opgestelde leefregels zijn slecht bekend onder gebruikers worden als weinig richtinggevend ervaren en voegen in hun ogen weinig toe aan de reeds bestaande rijksbrede regels ten aanzien van flexwerken,1
211,Wel is sprake geweest van betrokkenheid via de medezeggenschap maar deze was naar de mening van de vertegenwoordigers van de medezeggenschap beperkt,1
212,Alle gebruikers blijken te zijn voorbereid op en geïnformeerd over de nieuwe kantooromgeving door middel van programmas die door de organisaties zelf zijn opgezet,1
213,De effectiviteit van deze programmas op het gebied van de benodigde gedragsverandering behaviour blijkt achteraf gezien echter onvoldoende te zijn geweest,1
215,Gebruikers geven aan niet direct betrokken te zijn geweest bij de keuze van de inrichting van de kantooromgeving op R8,1
216,Zo zijn er bijvoorbeeld geen gebruikerspanels ingericht om de projectorganisatie te adviseren en te assisteren in het maken van keuzes over de kantoorinrichting,1
217,De invloed van gebruikers op de kantoorinrichting van R8 heeft indirect plaatsgevonden via de medezeggenschap,1
218,Tijdens de realisatiefase is een Tijdelijke Ondernemingsraad Rijnstraat 8 TOR ingesteld waarin vertegenwoordigers van de ondernemingsraden van de organisaties die op R8 gehuisvest zouden worden zitting hadden,1
219,De POR trad daarbij op als bestuurder in de zin van de Wet op de ondernemingsraden en was voor de TOR derhalve het primaire aanspreekpunt,1
220,Uit gesprekken met voormalig leden van de TOR en de huidige ondernemingsraden blijkt echter dat zij de betrokkenheid van de TOR bij de inrichting van de kantooromgeving van R8 als beperkt hebben ervaren,1
222,Een aantal door de POR toegezegde acties staat nog steeds op de voorraadlijst om te worden uitgevoerd terwijl de TOR inmiddels is opgeheven,1
223,Op dit moment bestaat er voor R8 geen centrale organisatie van de medezeggenschap en heeft elke organisatieonderdeel een eigen ondernemingsraad hetgeen betekent dat er momenteel zeven ondernemingsraden op R8 actief zijn,1
224,Deze ondernemingsraden werken informeel samen in een op eigen initiatief opgericht platform,1
225,Ook de huidige betrokkenheid van de medezeggenschap en daarmee indirect ook van de gebruikers bij besluiten aangaande R8 wordt door hun vertegenwoordigers als beperkt ervaren,1
227,Veel gebruikers werken niet activiteit gerelateerd en gebruiken de kantooromgeving nog op de traditionele wijze,1
228,Hierdoor ontstaat schaarste aan geschikte werkplekken 631 Voorbereidingsprogrammas Alle organisaties hebben eigen decentrale programmas opgezet gericht op flexwerken en de voorbereiding op de nieuwe kantooromgeving,1
229,Voor de onderdelen van de KK is de voorbereiding gecoördineerd uitgevoerd,1
230,Er is op aandrang van de organisaties zelf voor deze decentrale aanpak gekozen met als argument dat men daarmee een organisatiegerichte aanpak zouden kunnen volgen en omdat men vanuit de organisaties een betere kijk had op de behoeftes van de medewerkers,1
231,De voorbereidingsprogrammas waren mede gericht op houding en gedrags aspecten behaviour die behoren bij het werken in de nieuwe kantooromgeving,1
233,Door de projectleiders van de voorbereidingsprogrammas die zijn geïnterviewd is aangegeven dat de respons op de activiteiten op het gebied van behaviour tegenviel en niet de aandacht en commitment van de leiding kregen om de vereiste gedragsverandering te realiseren,1
234,Het bleek lastig om medewerkers te laten participeren en ervan te doordringen dat van hen een wezenlijk andere werkwijze werd verwacht,1
235,Veel medewerkers leken een grondhouding te hebben dat het allemaal zon vaart niet zou lopen en zich niet te realiseren dat er na de verhuizing daadwerkelijk anders gewerkt zou moeten gaan worden,1
236,De deelname aan de activiteiten op het gebied van behaviour was bovendien vrijblijvend waardoor niet alle gebruikers hieraan hebben deelgenomen en de beoogde verandering slechts onder een deel van de gebruikers is gerealiseerd,1
237,Uitzondering hierop vormden de organisaties van de KK waar deelname minder vrijblijvend was 632 Voormalige kantoorlocaties Op R8 is een flexnorm toegepast van 07 bestaande uit 05 bureauwerkplek en 02 communicatieplek waaraan gebruikers niet gewend waren,1
238,De organisaties hadden de voormalige kantooromgeving weliswaar heringericht volgens de FWR uitgangs punten maar vrijwel nergens is daarbij een met R8 vergelijkbare flexnorm toegepast19,1
239,In onderstaande tabel zijn de flexnormen die werden gehanteerd in de voormalige kantoorlocaties opgenomen,1
